,Fully open,,Partially open,,Closed due to COVID 19,,Academic break,
0,98.49652777777780,127.27324602841800,83.83739837398380,340.2715647660750,146.4090909090910,187.4590846083590,75.24489795918370,51.87118947063420
1,2.857638888888890,6.463885568864640,4.91869918699187,22.89232253023290,36.40909090909090,158.84707504606000,1.3741496598639500,1.7230367289871300
2,,,14.659129403794,0.0,47.912563131313100,1.0,-23.251629818594100,1.0
3,,,2.0610602981029800,0.0,33.55145202020200,1.0,-1.4834892290249400,1.0
,,,,,,,,
,2.5,2.179449471770340,76148.97204301080,62642.06136105880,,,69588.61224489800,56339.207974100600
,0.0,0.0,1343.3849462365600,907.0381268967430,,,803.6734693877550,672.2423352655930
,0.0,0.0,76146.47204301080,1.0,,0.0,69586.11224489800,1.0
,0.0,0.0,1343.3849462365600,1.0,,0.0,803.6734693877550,1.0
,,,,,,,,
,2216.8651685393300,2683.3563034907200,242.5,202.2734182098220,39.75,14.824669754612900,7288.19191919192,7918.039816704930
,34.52584269662920,33.72096180032980,14.660714285714300,13.363431960971300,1.5416666666666700,1.8479530717947200,20.585858585858600,17.724040684963000
,0.0,0.0,-1974.3651685393300,1.0,-2177.1151685393300,1.0,5071.326750652590,1.0
,0.0,0.0,-19.865128410914900,1.0,-32.98417602996260,1.0,-13.939984110770600,1.0
